method,task,metric,value
cap,shaping,procrustes_distance,0.6251957927591428
cap,shaping,procrustes_distance,0.8253332278234401
cap,shaping,procrustes_distance,0.0021691014753304756
cap,shaping,procrustes_distance,0.00035181166342717284
cap,shaping,procrustes_distance,0.0015774468418641486
cap,encircling,mean_distance_error,1.8004226797393497
cap,encircling,mean_distance_error,0.04748569524119023
cap,encircling,mean_distance_error,0.2923169489981342
cap,encircling,mean_distance_error,1.8962772796002056
cap,encircling,mean_distance_error,1.0978580476154558
cap,encircling,mean_distance_error,2.1507239584979283
cap,encircling,mean_distance_error,1.0080308532504763
cap,encircling,mean_distance_error,2.4948638611192844
cap,encircling,mean_distance_error,0.554612864674737
cap,encircling,mean_distance_error,0.02863372088150723
cap,encircling,mean_distance_error,0.05633258061540031
cap,encircling,mean_distance_error,0.04232332152743449
cap,encircling,mean_distance_error,0.09512074023080407
cap,encircling,mean_distance_error,0.6887617060731924
cap,encircling,mean_distance_error,0.07757929412428542
cap,encircling,mean_distance_error,0.06063144517870528
cap,encircling,mean_distance_error,0.960421109708702
cap,encircling,mean_distance_error,0.16058253175113082
cap,encircling,mean_distance_error,0.047592822085983366
cap,encircling,mean_distance_error,0.04074830977399448
cap,encircling,mean_distance_error,0.1564394249505886
cap,encircling,mean_distance_error,0.841217712552844
cap,encircling,mean_distance_error,0.046293916932872735
cap,encircling,mean_distance_error,0.020148793325574288
cap,encircling,mean_distance_error,0.7743471249784452
cap,encircling,mean_distance_error,0.06173936257052783
cap,encircling,mean_distance_error,0.7553285872801895
cap,encircling,mean_distance_error,1.9717701551707931
cap,encircling,mean_distance_error,1.2833454835564855
cap,encircling,mean_distance_error,0.05422287002371917
cap,encircling,mean_distance_error,0.017677803161831502
cap,encircling,mean_distance_error,0.07491530734345873
cap,encircling,mean_distance_error,0.8500329589883635
cap,encircling,mean_distance_error,0.05492316644189584
cap,encircling,mean_distance_error,0.5985726386685016
cap,encircling,mean_distance_error,0.404181905787451
cap,encircling,mean_distance_error,0.040745950503767205
cap,encircling,mean_distance_error,1.4788937537677063
cap,encircling,mean_distance_error,1.6124855531667839
cap,encircling,mean_distance_error,0.8566236245662081
cap,encircling,mean_distance_error,1.9495280995824877
cap,encircling,mean_distance_error,2.8135795872697904
cap,encircling,mean_distance_error,1.7962384054521074
cap,encircling,mean_distance_error,1.0303435805734902
cap,encircling,mean_distance_error,2.4252505797160127
cap,encircling,mean_distance_error,1.5218968998608287
cap,encircling,mean_distance_error,0.042545989490876825
cap,encircling,mean_distance_error,0.4791641261624407
cap,encircling,mean_distance_error,2.327521920434421
cap,encircling,mean_distance_error,0.08340965515768173
cap,encircling,mean_distance_error,0.06491953557290464
cap,encircling,mean_distance_error,0.06881938727391151
cap,encircling,mean_distance_error,1.2826727952381682
cap,encircling,mean_distance_error,0.022814777587217932
cap,encircling,mean_distance_error,0.03620422235485099
cap,encircling,mean_distance_error,2.0284536576105623
cap,encircling,mean_distance_error,0.06853198642202431
cap,encircling,mean_distance_error,0.06199970525551605
cap,encircling,mean_distance_error,1.021837661232611
cap,encircling,mean_distance_error,1.2855755746845456
cap,encircling,mean_distance_error,0.5236920225394361
cap,encircling,mean_distance_error,0.5316545537269431
cap,encircling,mean_distance_error,0.7489237872216202
cap,encircling,mean_distance_error,0.06818528609221769
cap,encircling,mean_distance_error,1.1647492494612355
cap,encircling,mean_distance_error,2.0017414434187306
cap,encircling,mean_distance_error,2.435617236345841
cap,encircling,mean_distance_error,1.009747609679868
cap,encircling,mean_distance_error,2.3481637524892136
cap,encircling,mean_distance_error,1.2220989935836855
cap,encircling,mean_distance_error,0.2678950890720105
cap,encircling,mean_distance_error,1.406632555316172
cap,encircling,mean_distance_error,2.404358355930816
cap,encircling,mean_distance_error,0.2473034855009608
cap,encircling,mean_distance_error,1.6561014135680996
cap,encircling,mean_distance_error,2.3277615374300322
cap,encircling,mean_distance_error,0.41737380140394315
cap,encircling,mean_distance_error,0.35180876746047646
cap,encircling,mean_distance_error,0.027187069508809336
cap,encircling,mean_distance_error,1.228417239718264
cap,encircling,mean_distance_error,1.3088573794891305
cap,encircling,mean_distance_error,0.6229125989642383
cap,encircling,mean_distance_error,2.066291581221352
cap,encircling,mean_distance_error,0.34324138196288456
cap,encircling,mean_distance_error,0.6331075440446161
cap,encircling,mean_distance_error,1.2916067206092134
cap,encircling,mean_distance_error,1.6606225082755615
cap,encircling,mean_distance_error,0.04092002696504123
cap,encircling,mean_distance_error,0.5928332137616844
cap,encircling,mean_distance_error,0.04766573614365014
cap,covering,area_ratio,1.1160890736663716
cap,covering,variance_nearest_neighbor_distance,0.01417968990018861
cap,covering,area_ratio,0.16391663863686473
cap,covering,variance_nearest_neighbor_distance,0.0003399002594041205
cap,covering,area_ratio,1.393408518142855
cap,covering,variance_nearest_neighbor_distance,0.00479450022424719
cap,covering,area_ratio,0.8866938865735537
cap,covering,variance_nearest_neighbor_distance,0.0005516802636832797
cap,covering,area_ratio,1.3947809817240564
cap,covering,variance_nearest_neighbor_distance,0.0029966329779111713
cap,covering,area_ratio,0.6465302923081824
cap,covering,variance_nearest_neighbor_distance,0.06854487867077541
cap,covering,area_ratio,1.0022600804466453
cap,covering,variance_nearest_neighbor_distance,0.31806548600450124
cap,covering,area_ratio,0.3286347706419119
cap,covering,variance_nearest_neighbor_distance,0.004802189557017971
cap,covering,area_ratio,0.8851441655569258
cap,covering,variance_nearest_neighbor_distance,0.13249053646982653
cap,covering,area_ratio,0.3564154061043878
cap,covering,variance_nearest_neighbor_distance,0.0016060627060023728
cap,covering,area_ratio,1.2708603830448617
cap,covering,variance_nearest_neighbor_distance,0.030041598294943503
cap,covering,area_ratio,0.9179843277879945
cap,covering,variance_nearest_neighbor_distance,0.029192403823162346
cap,covering,area_ratio,0.06147352006078964
cap,covering,variance_nearest_neighbor_distance,0.005703004439417701
cap,covering,area_ratio,0.7268217064928456
cap,covering,variance_nearest_neighbor_distance,0.13321441007099316
cap,covering,area_ratio,0.09150966009093944
cap,covering,variance_nearest_neighbor_distance,0.0012917921769028003
cap,covering,area_ratio,0.8926796509894173
cap,covering,variance_nearest_neighbor_distance,0.09337130456482383
cap,covering,area_ratio,0.9197268109770489
cap,covering,variance_nearest_neighbor_distance,0.07979093263777137
cap,covering,area_ratio,0.28088375151909245
cap,covering,variance_nearest_neighbor_distance,0.008333854584028808
cap,covering,area_ratio,1.4667159635294906
cap,covering,variance_nearest_neighbor_distance,0.20230185462124034
cap,covering,area_ratio,0.023244693615753893
cap,covering,variance_nearest_neighbor_distance,0.000222972109229357
cap,covering,area_ratio,0.028817816872093237
cap,covering,variance_nearest_neighbor_distance,0.0003564895798860041
cap,covering,area_ratio,0.4125363559920527
cap,covering,variance_nearest_neighbor_distance,0.09297794441036945
cap,covering,area_ratio,0.22282498314002294
cap,covering,variance_nearest_neighbor_distance,0.0032224994085684657
cap,covering,area_ratio,0.9376366825496191
cap,covering,variance_nearest_neighbor_distance,0.0068560570558140075
cap,covering,area_ratio,0.15684214446497793
cap,covering,variance_nearest_neighbor_distance,0.00025690533043008605
cap,covering,area_ratio,0.9142381255511595
cap,covering,variance_nearest_neighbor_distance,0.0005290150134683424
cap,covering,area_ratio,0.942338318260202
cap,covering,variance_nearest_neighbor_distance,0.0004069850704180879
cap,covering,area_ratio,1.359417838116749
cap,covering,variance_nearest_neighbor_distance,0.0005819702915556095
cap,covering,area_ratio,0.9061197369851431
cap,covering,variance_nearest_neighbor_distance,0.0006137821857990589
cap,covering,area_ratio,1.3728759915535766
cap,covering,variance_nearest_neighbor_distance,0.0015043313503152677
cap,covering,area_ratio,0.9328375917488889
cap,covering,variance_nearest_neighbor_distance,0.0004189331320886186
cap,covering,area_ratio,0.16150880942288426
cap,covering,variance_nearest_neighbor_distance,0.00022419808748936213
cap,covering,area_ratio,1.233932518042428
cap,covering,variance_nearest_neighbor_distance,0.01712509284414998
cap,covering,area_ratio,0.9599315140960053
cap,covering,variance_nearest_neighbor_distance,0.008396194037577489
cap,covering,area_ratio,1.3750317299046297
cap,covering,variance_nearest_neighbor_distance,0.001489178828878315
cap,covering,area_ratio,1.2527689228818135
cap,covering,variance_nearest_neighbor_distance,0.01234572678248625
cap,covering,area_ratio,0.8977760584294537
cap,covering,variance_nearest_neighbor_distance,0.002297428880423526
cap,covering,area_ratio,1.4068552126770808
cap,covering,variance_nearest_neighbor_distance,0.0012986507051467614
cap,covering,area_ratio,1.378546828515933
cap,covering,variance_nearest_neighbor_distance,0.0014149530694770901
cap,covering,area_ratio,0.9587035051239802
cap,covering,variance_nearest_neighbor_distance,0.006526705107802502
cap,covering,area_ratio,1.2174053015783497
cap,covering,variance_nearest_neighbor_distance,0.06740597450554185
cap,covering,area_ratio,1.3919923284982039
cap,covering,variance_nearest_neighbor_distance,0.006280706457033638
cap,covering,area_ratio,1.6716781154692308
cap,covering,variance_nearest_neighbor_distance,0.2573635767175991
cap,covering,area_ratio,1.3334683869524548
cap,covering,variance_nearest_neighbor_distance,0.03444939424647886
cap,covering,area_ratio,1.0963783548331247
cap,covering,variance_nearest_neighbor_distance,0.2999149799589561
cap,covering,area_ratio,0.901567156521731
cap,covering,variance_nearest_neighbor_distance,0.0001914384963585581
cap,covering,area_ratio,1.414598887164336
cap,covering,variance_nearest_neighbor_distance,0.002755550216938296
cap,covering,area_ratio,0.8842523928824852
cap,covering,variance_nearest_neighbor_distance,0.0012498468654156
cap,covering,area_ratio,0.23500209956823676
cap,covering,variance_nearest_neighbor_distance,0.0075324833694533164
cap,covering,area_ratio,0.2842396481855802
cap,covering,variance_nearest_neighbor_distance,0.0037717212517693654
cap,covering,area_ratio,0.16666058546727602
cap,covering,variance_nearest_neighbor_distance,0.0009372933581928588
cap,covering,area_ratio,0.1427670620518328
cap,covering,variance_nearest_neighbor_distance,0.0041267114274996545
cap,covering,area_ratio,0.1746328469338833
cap,covering,variance_nearest_neighbor_distance,0.030628443967037584
cap,covering,area_ratio,0.4101280583273226
cap,covering,variance_nearest_neighbor_distance,0.1025332035525746
cap,covering,area_ratio,0.2785128870509971
cap,covering,variance_nearest_neighbor_distance,0.00841768559565071
cap,covering,area_ratio,0.942966688024775
cap,covering,variance_nearest_neighbor_distance,0.0045550560269733194
cap,covering,area_ratio,0.19783941636707575
cap,covering,variance_nearest_neighbor_distance,0.0009250922697820673
cap,covering,area_ratio,0.8685701690297603
cap,covering,variance_nearest_neighbor_distance,0.05669278044759947
cap,covering,area_ratio,0.9442529671905263
cap,covering,variance_nearest_neighbor_distance,0.0012665142719371345
cap,covering,area_ratio,0.20560560975531755
cap,covering,variance_nearest_neighbor_distance,0.0016237111822273152
cap,covering,area_ratio,1.05877211783264
cap,covering,variance_nearest_neighbor_distance,0.033330030202471196
cap,covering,area_ratio,1.5346923818057385
cap,covering,variance_nearest_neighbor_distance,0.04757360143205835
cap,covering,area_ratio,0.2628796250703937
cap,covering,variance_nearest_neighbor_distance,0.0024766088933441763
cap,covering,area_ratio,0.9666779032130152
cap,covering,variance_nearest_neighbor_distance,0.005448530038347467
cap,covering,area_ratio,0.026707097101739623
cap,covering,variance_nearest_neighbor_distance,0.0036073882944813967
cap,covering,area_ratio,0.8904939380433723
cap,covering,variance_nearest_neighbor_distance,0.0396807621421026
cap,covering,area_ratio,0.9939609137088873
cap,covering,variance_nearest_neighbor_distance,0.0419817150612984
cap,covering,area_ratio,0.900590270079642
cap,covering,variance_nearest_neighbor_distance,0.006496415785702477
cap,covering,area_ratio,1.37255137730139
cap,covering,variance_nearest_neighbor_distance,0.003633950007460272
cap,covering,area_ratio,1.3902346742034177
cap,covering,variance_nearest_neighbor_distance,0.005267827699350985
